name,category,url
Iterable,Marketing Automation,https://iterable.com
Jasper,Copywriting,https://jasper.ai
Jotform,Form Builders,https://jotform.com
Jungler.ai,Signal Tracking,https://jungler.ai
Juro,Contract Management | Workflow Automation,https://juro.com
Just Call,Cold Call Dialer,https://justcall.io
Kaspr,Phone Number Finder,https://kaspr.io
Kit,Newsletter,https://kit.com
Kixie,Cold Call Dialer,https://kixie.com
Klenty,Cold Email Sequencer | Multi-channel Sequencer,https://klenty.com
LaGrowthMachine,LinkedIn Sequencer | Multi-channel Sequencer,https://lagrowthmachine.com
Landbase,AI SDR | General Databases,https://landbase.com
Lavender,Copywriting,https://lavender.ai
Leadfeeder,All-in-one Sales Prospecting,https://leadfeeder.com
LeadIQ,Email Finder | Phone Number Finder,https://leadiq.com
Leadlander,Website Visitor Identification,https://leadlander.com
LeadMagic,Email Finder,https://leadmagic.io
Leandata,Data Orchestration | Inbound Orchestration,https://leandata.com
Lemlist,All-in-one Sales Prospecting | Cold Email Sequencer | LinkedIn Sequencer | Manual Sequencer | Multi-channel Sequencer,https://lemlist.com
Lemwarm,Email Deliverability,https://lemwarm.com
Lindy,AI Agent Builder | Workflow Automation,https://lindy.ai
Loops.so,Marketing Automation,https://loops.so
Lusha,All-in-one Sales Prospecting | General Databases,https://lusha.com
MailerLite,Marketing Automation,https://mailerlite.com
Make,Workflow Automation,https://make.com
Manus,AI Agent Builder,https://manus.im
Marketo,Marketing Automation,https://business.adobe.com/products/marketo.html
Metadata,Marketing Attribution,https://metadata.io
Midbound,Website Visitor Identification,https://midbound.ai
Miro,Content Design,https://miro.com
Mixmax,Cold Email Sequencer | Multi-channel Sequencer,https://mixmax.com
MixPanel,Product Analytics,https://mixpanel.com
Modjo,AI Notetaker,https://modjo.ai
Momentum AI,Sales Enablement,https://momentum.io
Monday.com,CRM,https://monday.com
Mutiny,ABM,https://mutinyhq.com
n8n,AI Agent Builder | Data Orchestration | Workflow Automation,https://n8n.io
Nooks,Cold Call Dialer | Cold Email Sequencer | Manual Sequencer | Multi-channel Sequencer | Revenue Infrastructure | Signal Tracking,https://nooks.ai
Notion,Sales Enablement,https://notion.com
Nyne.ai,Search API,https://nyne.ai
Ocean.io,General Databases | Lookalike Databases,https://ocean.io
Octave,Copywriting,https://octavehq.com
Octoparse,Data Scraping,https://octoparse.com
Openmart,Specialized Databases,https://openmart.com
OpusClip,Content Design,https://opus.pro
Orum,Cold Call Dialer,https://orum.com
OutboundSync,CRM Enrichment | Marketing Attribution | Revenue Infrastructure,https://outboundsync.com
Outreach,Cold Call Dialer | Cold Email Sequencer | Manual Sequencer,https://outreach.io
Outscraper,Data Scraping,https://outscraper.com
Oxylabs,Data Scraping,https://oxylabs.io
PandaDoc,Contract Management,https://pandadoc.com
Parallel,Search API,https://parallel.ai
PathFactory,ABM,https://pathfactory.com
Pendo,Product Analytics,https://pendo.io
Phantombuster,Data Scraping,https://phantombuster.com
Pipedrive,CRM,https://pipedrive.com
Plain,Customer Support,https://plain.com
PlusVibe,Cold Email Sequencer | Email Deliverability,https://plusvibe.ai
Polytomic,Product Analytics,https://polytomic.com
Posthog,Product Analytics,https://posthog.com
Predict Leads,Search API | Signal Tracking,https://predictleads.com
Propensity,ABM,https://propensity.com
Proposify,Contract Management | Sales Proposal Builder,https://proposify.com
Propseo,Email Finder | Phone Number Finder,https://prospeo.io
Pylon,Customer Support,https://usepylon.com
Quickmail,Cold Email Sequencer,https://quickmail.com
Qwilr,Contract Management | Sales Proposal Builder,https://qwilr.com
RapidAPI,Data Scraping | Search API,https://rapidapi.com
RB2B,Signal Tracking | Website Visitor Identification,https://rb2b.com
Read.ai,AI Notetaker,https://read.ai
reclaim.ai,Meeting Scheduling,https://reclaim.ai
Recotap,ABM,https://recotap.com
Recurly,Revenue Infrastructure,https://recurly.com
Regie,Manual Sequencer,https://regie.ai
Relay,AI Agent Builder | Workflow Automation,https://relaypro.com
Relevance AI,AI Agent Builder,https://relevanceai.com
Replicant,Customer Support,https://replicant.com
Reply.io,AI SDR | Cold Email Sequencer,https://reply.io
Resend,Email Deliverability,https://resend.com
Revenue.io,Revenue Infrastructure,https://revenue.io
Revenuehero,Inbound Orchestration | Meeting Scheduling,https://revenuehero.io
RingCentral,Cold Call Dialer,https://ringcentral.com
RudderStack,Data Orchestration | Product Analytics,https://rudderstack.com
Salesforce,CRM,https://salesforce.com
Salesforge,Cold Email Sequencer,https://salesforge.ai
Saleshandy,Cold Email Sequencer,https://saleshandy.com
Salesloft,Cold Call Dialer | Cold Email Sequencer | Manual Sequencer,https://salesloft.com
Salespeak,Inbound Orchestration,https://salespeak.ai
Sandcastles.ai,Content Ideation,https://sandcastles.ai
Scrape,Data Scraping | Search API,https://scrape.do
Scraperapi,Data Scraping | Search API,https://scraperapi.com
Screen Studio,Content Design,https://screen.studio
Scripe.io,Content Ideation,https://scripe.io
SE Ranking,SEO,https://seranking.com
Seam AI,ABM | Data Orchestration | Signal Tracking,https://getseam.ai
Seamless.ai,General Databases,https://seamless.ai
Segment,Product Analytics,https://segment.com
Semrush,SEO,https://semrush.com
Serper.dev,Data Scraping | Search API,https://serper.dev
Signum AI,SEO,https://signum.ai
SignWell,Contract Management,https://signwell.com
SimilarWeb,SEO,https://similarweb.com
Smartlead,Cold Email Sequencer,https://smartlead.ai
Snitcher,Website Visitor Identification,https://snitcher.com
Snov.io,All-in-one Sales Prospecting,https://snov.io
SparkToro,SEO,https://sparktoro.com
SpyFu,SEO,https://spyfu.com
StackAI,AI Agent Builder,https://stackai.com
Storeleads,Specialized Databases,https://storeleads.app
Surfer SEO,Content Ideation | SEO,https://surferseo.com
Sybill,AI Notetaker | Revenue Infrastructure,https://sybill.ai
Tally,Form Builders,https://tally.so
Taplio,Content Ideation,https://taplio.com
Teamfluence,Signal Tracking,https://teamfluence.com
TheirStack,Signal Tracking,https://theirstack.com
TheSwarm,Signal Tracking,https://theswarm.com
TitanX,Cold Call Dialer,https://titanx.io
Topo,AI SDR,https://topo.io
Trumpet,Sales Proposal Builder,https://sendtrumpet.com
Twain,Copywriting,https://usetwain.com
Tweethunter,Content Ideation,https://tweethunter.io
Typeform,Form Builders,https://typeform.com
Ubersuggest,SEO,https://neilpatel.com/ubersuggest/
Unify,Data Orchestration | Manual Sequencer | Multi-channel Sequencer | Signal Tracking,https://unifygtm.com
UserGems,Signal Tracking,https://usergems.com
Userled,ABM,https://userled.io
Valley,AI SDR | LinkedIn Sequencer,https://joinvalley.co
VBout,Marketing Automation,https://vbout.com
Vector.co,Signal Tracking | Website Visitor Identification,https://vector.co
Viewstats,Content Ideation,https://viewstats.com
Warmly,ABM | Signal Tracking | Website Visitor Identification,https://warmly.ai
Warmy,Email Deliverability,https://warmy.io
Winn,AI Notetaker | CRM Enrichment | Revenue Infrastructure,https://winn.ai
Wiza,Email Finder | Phone Number Finder,https://wiza.co
Woodpecker,Cold Email Sequencer,https://woodpecker.co
Yesware,Cold Email Sequencer | General Databases | Meeting Scheduling,https://yesware.com
Zapier,Data Orchestration | Workflow Automation,https://zapier.com
Zapmail,Email Deliverability,https://zapmail.ai
ZenABM,Marketing Attribution,https://zenabm.com
Zendesk,Customer Support,https://zdsk.co
Zenrows,Data Scraping,https://zenrows.com
Zoho,CRM | Customer Support | Marketing Automation,https://zoho.com
ZoomInfo,All-in-one Sales Prospecting | Data Orchestration | General Databases,https://zoominfo.com
Zyte,Data Scraping,https://zyte.com
